0,  2.98,  9.96,  0.00,  1.84,  3.55,  0.00
1,  2.27,  5.46,  0.00,  1.83,  3.50,  0.00
2,  2.03,  4.40,  0.00,  1.84,  3.57,  0.00
3,  1.93,  3.94,  0.00,  1.80,  3.41,  0.00
4,  1.87,  3.71,  0.00,  1.79,  3.35,  0.00
5,  1.85,  3.64,  0.00,  1.80,  3.44,  0.00
6,  1.83,  3.56,  0.00,  1.86,  3.66,  0.00
7,  1.83,  3.55,  0.00,  1.82,  3.50,  0.00
8,  1.83,  3.55,  0.00,  1.78,  3.34,  0.00
9,  1.82,  3.51,  0.00,  1.79,  3.39,  0.00
10,  1.81,  3.49,  0.00,  1.78,  3.34,  0.00
11,  1.81,  3.49,  0.00,  1.79,  3.39,  0.00
12,  1.81,  3.48,  0.00,  1.78,  3.36,  0.00
13,  1.80,  3.45,  0.00,  1.79,  3.38,  0.00
14,  1.80,  3.43,  0.00,  1.79,  3.39,  0.00
15,  1.80,  3.43,  0.00,  1.77,  3.32,  0.00
16,  1.80,  3.44,  0.00,  1.82,  3.47,  0.00
17,  1.79,  3.41,  0.00,  1.76,  3.29,  0.00
18,  1.79,  3.40,  0.00,  1.77,  3.32,  0.00
19,  1.79,  3.39,  0.00,  1.78,  3.35,  0.00
20,  1.78,  3.35,  0.00,  1.75,  3.22,  0.00
21,  1.78,  3.37,  0.00,  1.77,  3.32,  0.00
22,  1.77,  3.35,  0.00,  1.75,  3.22,  0.00
23,  1.77,  3.33,  0.00,  1.69,  3.03,  0.00
24,  1.77,  3.32,  0.00,  1.71,  3.09,  0.00
25,  1.75,  3.27,  0.00,  1.72,  3.10,  0.00
26,  1.75,  3.26,  0.00,  1.74,  3.19,  0.00
27,  1.75,  3.26,  0.00,  1.76,  3.26,  0.00
28,  1.75,  3.27,  0.00,  1.72,  3.11,  0.00
29,  1.75,  3.25,  0.00,  1.69,  3.01,  0.00
30,  1.74,  3.22,  0.00,  1.69,  2.99,  0.00
31,  1.74,  3.22,  0.00,  1.71,  3.08,  0.00
32,  1.73,  3.19,  0.00,  1.68,  2.97,  0.00
33,  1.73,  3.18,  0.00,  1.66,  2.92,  0.00
34,  1.73,  3.19,  0.00,  1.67,  2.93,  0.00
35,  1.72,  3.16,  0.00,  1.67,  2.93,  0.00
36,  1.73,  3.19,  0.00,  1.71,  3.06,  0.00
37,  1.72,  3.15,  0.00,  1.66,  2.90,  0.00
38,  1.72,  3.13,  0.00,  1.67,  2.96,  0.00
39,  1.72,  3.14,  0.00,  1.65,  2.89,  0.00
